espece;nom_latin;famille;region;habitat;fun_fact;description
Castor;Castor canadensis;Castoridés;Amérique du Nord;Lacs et rivières;Les castors peuvent abattre des arbres avec leurs dents.;Le castor est connu pour construire des barrages impressionnants.
Chat;Felis catus;Félidés;Monde entier;Domestique;Les chats dorment jusqu'à 16 heures par jour.;Le chat domestique est un excellent chasseur.
Chien;Canis lupus familiaris;Canidés;Monde entier;Domestique;Les chiens ont un odorat 40 fois plus puissant que l'humain.;Le chien est le meilleur ami de l'homme.
Coyote;Canis latrans;Canidés;Amérique du Nord;Forêts et prairies;Les coyotes peuvent courir jusqu'à 69 km/h.;Le coyote est un prédateur opportuniste.
Ecureuil;Sciurus carolinensis;Sciuridés;Amérique du Nord;Forêts;Les écureuils oublient souvent où ils cachent leurs glands.;L'écureuil est connu pour ses acrobaties dans les arbres.
Lapin;Oryctolagus cuniculus;Léporidés;Europe;Champs et forêts;Les lapins peuvent sauter jusqu'à 1 mètre de haut.;Le lapin est un animal très prolifique.
Loup;Canis lupus;Canidés;Arctique;Forêts et toundras;Les loups hurlent pour communiquer sur de longues distances.;Le loup vit en meute avec une hiérarchie stricte.
Lynx;Lynx canadensis;Félidés;Amérique du Nord;Forêts boréales;Les lynx ont des pattes qui agissent comme des raquettes à neige.;Le lynx est un chasseur solitaire et discret.
Ours;Ursus americanus;Ursidés;Amérique du Nord;Forêts;Les ours peuvent sentir une carcasse à plus de 30 km.;L'ours noir est un excellent grimpeur.
Puma;Puma concolor;Félidés;Amérique;Forêts et montagnes;Les pumas peuvent sauter jusqu'à 5 mètres de haut.;Le puma est un prédateur puissant et discret.
Rat;Rattus norvegicus;Muridés;Monde entier;Zones urbaines;Les rats peuvent ronger des matériaux durs comme le béton.;Le rat est très adaptable et intelligent.
Raton laveur;Procyon lotor;Procyonidés;Amérique du Nord;Forêts et zones urbaines;Les ratons laveurs "lavent" leur nourriture avant de manger.;Le raton laveur est connu pour son masque facial.
Renard;Vulpes vulpes;Canidés;Monde entier;Forêts et prairies;Les renards ont une ouïe si fine qu'ils peuvent entendre une souris sous la neige.;Le renard roux est un chasseur rusé.
